Data S1B: List of protein abundances (copies/cell) calculated in S. cerevisiae. This table also includes information about the individual values in each experimental time-point  and the variability of measurements (CV) in both replicates.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Protein IDs,Uniprot_KB,Gene name,Protein name,protein abundance (copies /cell),,,REPLICATE-1_protein abundance (copies /cell),,,,,,,,,REPLICATE-2_protein abundance (copies /cell),,,,,,,,
YGR275W,P53330,RTT102,Regulator of Ty1 transposition protein 102,19210,10667,0.56,9199,10235,6777,10735,11194,3122,8544,2818,0.33,34338,30252,23248,26924,17033,47469,29877,9549,0.32
YGR276C,P53331,RNH70,RNA exonuclease 1,2035,127,0.06,1863,3730,2298,1323,2121,107,1907,1088,0.57,4201,2912,2265,2802,482,309,2162,1378,0.64
YGR277C,P53332,CAB4,Phosphopantetheine adenylyltransferase,435,20,0.05,NA,446,267,176,770,NA,415,227,0.55,1050,506,73,528,119,NA,455,352,0.77
YGR279C,P53334,SCW4,Probable family 17 glucosidase SCW4,21219,8340,0.39,19839,12636,15489,12149,15881,1279,12879,5765,0.45,30299,23831,43374,36757,21371,21722,29559,8211,0.28
YGR280C,P53335,PXR1,Protein PXR1,3613,561,0.16,3623,6653,3395,2565,7764,1044,4174,2321,0.56,5442,5927,87,5261,1180,415,3052,2520,0.83
YGR281W,P53049,YOR1,Oligomycin resistance ATP-dependent permease YOR1,607,210,0.35,1851,NA,447,NA,956,17,818,683,0.84,978,570,335,60,NA,43,397,349,0.88
YGR282C,P15703,BGL2,"Glucan 1,3-beta-glucosidase",380063,30342,0.08,392382,803699,167445,320021,334223,80554,349721,229025,0.65,410827,447806,552040,294924,466380,290455,410405,93378,0.23
YGR283C,P53336,YGR283C,Putative methyltransferase YGR283C,1519,221,0.15,902,7138,506,1159,623,110,1740,2436,1.4,631,1696,400,2466,NA,NA,1298,833,0.64
YGR284C,P53337,ERV29,ER-derived vesicles protein ERV29,1937,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1937,NA,NA,NA,NA,1937,0,0
YGR285C,P32527,ZUO1,Zuotin,328494,1909,0.01,331633,626347,192386,317159,445102,69795,330404,176956,0.54,444899,312482,249462,261559,288488,402618,326585,72579,0.22
YGR286C,P32451,BIO2,"Biotin synthase, mitochondrial",17869,1579,0.09,36140,56547,4502,9408,9601,488,19448,20148,1.04,39894,31578,7719,13040,1840,3669,16290,14393,0.88
YPL283C;YNL339C;YGR296W;YOR396W;YLR467W;YDR545W;YER190W;YPR202W,P0CX15,YRF1-7,Y' element ATP-dependent helicase protein 1 copy 7,279,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,455,NA,182,NA,201,279,124,0.45
YHL001W,P38754,RPL14B,60S ribosomal protein L14-B,478519,3433,0.01,221271,674433,310519,709035,761794,214661,481952,236543,0.49,473232,450717,443220,532732,617541,333076,475086,86983,0.18
YHL002W,P38753,HSE1,Class E vacuolar protein-sorting machinery protein HSE1,501,165,0.33,NA,642,NA,NA,NA,29,336,306,0.91,371,NA,1197,812,NA,283,666,367,0.55
YHL003C,P38703,LAG1,Sphingosine N-acyltransferase LAG1,1531,606,0.4,3047,4631,NA,405,467,NA,2138,1792,0.84,846,1011,NA,1455,388,NA,925,382,0.41
YHL004W,P32902,MRP4,"37S ribosomal protein MRP4, mitochondrial",6233,1,0,7843,13152,3873,4112,7028,1395,6234,3754,0.6,14006,7926,4512,3872,4578,2499,6232,3841,0.62
YHL007C,Q03497,STE20,Serine/threonine-protein kinase STE20,1679,169,0.1,2667,4155,1043,953,2005,267,1848,1289,0.7,3048,1726,855,2459,516,458,1510,986,0.65
YHL009C,P38749,YAP3,AP-1-like transcription factor YAP3,1252,338,0.27,NA,1211,622,626,1526,586,914,384,0.42,1774,2144,1074,866,NA,2096,1591,527,0.33
YHL011C,P38689,PRS3,Ribose-phosphate pyrophosphokinase 3,19886,907,0.05,17106,42846,17107,16855,17269,2693,18979,11897,0.63,22326,32648,9176,42174,5543,12890,20793,13102,0.63
YHL013C,P38747,OTU2,OTU domain-containing protein 2,3418,259,0.08,3540,11440,970,1708,3851,552,3677,3681,1,5615,923,3947,3365,880,4227,3159,1734,0.55
YHL014C,P38746,YLF2,Obg-like ATPase homolog,3589,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5443,NA,NA,1735,NA,NA,3589,1854,0.52
YHL015W,P38701,RPS20,40S ribosomal protein S20,1550163,175652,0.11,1110050,2435870,1347280,1895430,3043910,522348,1725815,840745,0.49,1717870,1487130,1187540,982433,1397480,1474610,1374511,234453,0.17
YHL020C,P21957,OPI1,Transcriptional repressor OPI1,2632,1447,0.55,354,3689,960,NA,731,191,1185,1281,1.08,3847,493,826,14900,NA,327,4078,5562,1.36
YHL021C,P23180,AIM17,Probable oxidoreductase AIM17,9061,2094,0.23,22405,21181,7221,2197,2769,NA,11155,8867,0.79,17677,13075,3664,6757,155,477,6967,6474,0.93
YHL023C,P38742,NPR3,Nitrogen permease regulator 3,600,105,0.18,NA,1958,NA,160,677,27,705,763,1.08,NA,850,403,168,560,NA,495,248,0.5
YHL025W,P18888,SNF6,Transcription regulatory protein SNF6,695,214,0.31,NA,NA,NA,936,NA,26,481,455,0.95,NA,NA,NA,909,NA,NA,909,0,0
YHL030W,P38737,ECM29,Proteasome component ECM29,282,56,0.2,184,446,74,167,258,NA,226,125,0.55,344,411,44,552,NA,NA,338,186,0.55
YHL031C,P38736,GOS1,Golgi SNAP receptor complex member 1,4679,645,0.14,3161,13741,919,2098,4110,173,4034,4534,1.12,8395,6340,6326,6715,2320,1851,5325,2397,0.45
YHL033C,P17076,RPL8A,60S ribosomal protein L8-A,102619,2041,0.02,90899,138594,55333,163552,127742,27354,100579,47699,0.47,115725,128773,33022,207218,68749,74474,104660,55610,0.53
YHL034C,P10080,SBP1,Single-stranded nucleic acid-binding protein,212771,64280,0.3,124187,330212,81186,128771,160334,66258,148491,87020,0.59,374200,309937,144742,229009,253531,350889,277051,77823,0.28
YHL038C,P03874,CBP2,Cytochrome B pre-mRNA-processing protein 2,205,151,0.74,NA,NA,53,NA,NA,55,54,1,0.02,NA,356,NA,NA,NA,NA,356,0,0
YHL039W,P38732,EFM1,Protein-lysine N-methyltransferase EFM1,357,48,0.13,NA,643,NA,345,227,NA,405,175,0.43,NA,358,NA,260,NA,NA,309,49,0.16
YHR001W,P38755,OSH7,Oxysterol-binding protein homolog 7,10054,895,0.09,11800,19705,6548,5751,9424,1725,9159,5656,0.62,16674,26505,2564,13807,3924,2222,10949,8932,0.82
YHR001W-A,P37299,QCR10,Cytochrome b-c1 complex subunit 10,11588,1019,0.09,NA,33502,3553,6225,7148,NA,12607,12136,0.96,12942,15972,NA,2794,NA,NA,10569,5635,0.53
YHR003C,P38756,TCD1,tRNA threonylcarbamoyladenosine dehydratase 1,1827,101,0.06,5315,3464,561,228,NA,72,1928,2099,1.09,NA,2980,408,1762,1757,NA,1727,910,0.53
YHR005C-A,P87108,TIM10,Mitochondrial import inner membrane translocase subunit TIM10,285790,32804,0.11,362717,556063,123613,149814,277518,48186,252985,170207,0.67,465721,358970,213652,383170,246156,243895,318594,90634,0.28
YHR007C,P10614,ERG11,Lanosterol 14-alpha demethylase,6675,1623,0.24,3022,15409,2682,4823,3847,529,5052,4812,0.95,4567,18983,966,21282,1986,2000,8298,8465,1.02
YHR008C,P00447,SOD2,"Superoxide dismutase [Mn], mitochondrial",62230,12520,0.2,60869,215718,50652,63090,51460,6711,74750,65769,0.88,128609,103985,14621,42090,6897,2055,49710,49268,0.99
YHR009C,P38758,TDA3,Putative oxidoreductase TDA3,7159,175,0.02,12804,15796,3883,3170,7990,365,7335,5474,0.75,11822,12078,4343,4871,4293,4499,6984,3517,0.5
YHR010W;YDR471W,P0C2H6,RPL27A,60S ribosomal protein L27-A,1607470,84153,0.05,1839360,2463400,1521500,1787500,2014840,523139,1691623,595178,0.35,1504900,1857080,1227810,1678610,1956090,915411,1523317,360560,0.24
YHR012W,P38759,VPS29,Vacuolar protein sorting-associated protein 29,5001,1012,0.2,8812,11242,4301,4341,6209,1171,6013,3276,0.54,375,7168,4861,2794,NA,4745,3989,2277,0.57
YHR013C,P07347,ARD1,N-terminal acetyltransferase A complex catalytic subunit ARD1,16402,991,0.06,13657,34341,12041,13739,15874,2812,15411,9439,0.61,16809,20883,14188,34200,9320,8958,17393,8579,0.49
YHR016C,P32793,YSC84,Protein YSC84,3555,524,0.15,1999,13105,1463,2526,1305,NA,4079,4533,1.11,3840,5875,1183,1226,NA,NA,3031,1963,0.65
YHR018C,P04076,ARG4,Argininosuccinate lyase,27857,5633,0.2,49206,98390,10913,22779,18821,827,33489,32571,0.97,23024,32682,14661,41219,15437,6321,22224,11740,0.53
YHR019C,P38707,DED81,"Asparagine--tRNA ligase, cytoplasmic",118575,20379,0.17,184890,379157,59851,95068,104694,10065,138954,119567,0.86,96278,138754,69800,139869,95324,49153,98196,33179,0.34
YHR020W,P38708,YHR020W,Putative proline--tRNA ligase YHR020W,96795,5958,0.06,104910,229784,61888,80449,126106,13384,102753,66885,0.65,97818,135433,59397,135635,65496,51245,90837,34743,0.38
YHR021C,P38711,RPS27B,40S ribosomal protein S27-B,2475960,468183,0.19,1042680,3370510,1245900,2924580,2824370,638623,2007777,1060727,0.53,3146750,3899930,2736470,2092420,2691250,3098040,2944143,549360,0.19
YHR022C,P38763,YHR022C,Uncharacterized protein YHR022C,111467,100565,0.9,16189,34517,1462,1851,493,NA,10902,13153,1.21,1892,827550,12481,NA,NA,6206,212032,355389,1.68
YHR023W,P08964,MYO1,Myosin-1,608,43,0.07,261,1220,385,964,991,84,651,424,0.65,940,988,393,554,211,301,565,301,0.53
YHR024C,P11914,MAS2,Mitochondrial-processing peptidase subunit alpha,5472,545,0.1,6820,17778,3393,1712,5745,658,6017,5674,0.94,8045,8681,2777,5499,660,3902,4927,2829,0.57
YHR025W,P17423,THR1,Homoserine kinase,1881,475,0.25,1769,2265,491,1307,1195,NA,1406,593,0.42,NA,513,NA,4199,NA,NA,2356,1843,0.78
YHR027C,P38764,RPN1,26S proteasome regulatory subunit RPN1,21030,2296,0.11,27244,60009,9358,14751,25799,2793,23326,18517,0.79,22808,30490,11269,22524,10345,14967,18734,7182,0.38
YHR028C,P18962,DAP2,Dipeptidyl aminopeptidase B,1674,2,0,2124,4177,1068,1221,1398,44,1672,1276,0.76,3419,2535,984,1328,NA,113,1676,1168,0.7
YHR029C,P38765,YHI9,Uncharacterized isomerase YHI9,9241,1600,0.17,9782,13357,4484,9104,8278,842,7641,4000,0.52,16625,11393,8785,7689,NA,9717,10842,3136,0.29
YHR030C,Q00772,SLT2,Mitogen-activated protein kinase SLT2/MPK1,1239,1,0,878,2707,NA,135,NA,NA,1240,1081,0.87,NA,1238,NA,1237,NA,NA,1238,0,0
YHR034C,P38768,PIH1,Protein interacting with Hsp90 1,2931,194,0.07,3433,8528,1531,2054,3118,86,3125,2652,0.85,4349,2834,2330,5249,1286,373,2737,1672,0.61
YHR036W,P38770,BRL1,Nucleus export protein BRL1,350,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,NA,NA,350,0,0
YHR037W,P07275,PUT2,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",6713,486,0.07,4483,18651,2367,13352,3622,724,7200,6512,0.9,22650,4649,4779,3135,1524,627,6227,7498,1.2
YHR038W,P38771,RRF1,"Ribosome-recycling factor, mitochondrial",3019,449,0.15,NA,1920,2215,2851,5489,376,2570,1671,0.65,6578,4314,2196,NA,NA,786,3468,2191,0.63
YHR039C,P38694,MSC7,Putative aldehyde dehydrogenase-like protein YHR039C,1577,555,0.35,551,3704,89,337,428,NA,1022,1350,1.32,NA,2325,431,3641,NA,NA,2132,1317,0.62
YHR039C-A,P48836,VMA10,V-type proton ATPase subunit G,511236,79422,0.16,500401,1025950,249467,239043,520156,55868,431814,310175,0.72,881317,706387,661657,342933,729988,221662,590657,230888,0.39
YHR040W,P38772,BCD1,Box C/D snoRNA protein 1,914,88,0.1,903,2456,471,181,NA,NA,1003,878,0.88,658,1497,92,1058,NA,NA,826,517,0.63
YHR041C,P34162,SRB2,Mediator of RNA polymerase II transcription subunit 20,2064,201,0.1,NA,3422,1066,3820,2774,244,2265,1381,0.61,3360,2771,165,353,NA,2663,1862,1332,0.72
YHR042W,P16603,NCP1,NADPH--cytochrome P450 reductase,16832,6467,0.38,25866,70691,10755,13154,16872,2459,23299,22318,0.96,15630,18105,7873,13336,2333,4911,10365,5729,0.55
YHR043C;YHR044C,P38773,DOG2,2-deoxyglucose-6-phosphate phosphatase 2,7632,778,0.1,8865,20457,3247,1768,6478,313,6855,6719,0.98,14656,12702,12983,5002,3494,1622,8410,5167,0.61
YHR045W,P38775,YHR045W,Putative uncharacterized protein YHR045W,618,204,0.33,792,2938,129,169,84,NA,823,1089,1.32,165,681,73,736,NA,NA,414,297,0.72
YHR046C,P38710,INM1,Inositol monophosphatase 1,1437,329,0.23,708,3471,565,212,586,NA,1108,1193,1.08,1970,1521,468,3104,NA,NA,1766,946,0.54
YHR047C,P37898,AAP1,Alanine/arginine aminopeptidase,2659,790,0.3,2321,12943,1277,2070,2033,47,3449,4313,1.25,1609,5159,733,3182,181,347,1869,1783,0.95
YHR049W,P38777,FSH1,Family of serine hydrolases 1,37588,5856,0.16,20524,74505,25162,38431,28867,2905,31732,21918,0.69,61627,53949,50639,49059,29334,16053,43444,15672,0.36
YHR051W,P00427,COX6,"Cytochrome c oxidase subunit 6, mitochondrial",77595,4990,0.06,76659,188793,39971,46737,77119,6356,72606,57242,0.79,95960,52711,107051,85587,95810,58390,82585,20163,0.24
YHR052W,P38779,CIC1,Proteasome-interacting protein CIC1,38373,3881,0.1,45965,85035,30220,36480,47975,7854,42255,23231,0.55,58095,51870,18186,37469,16238,25093,34492,16101,0.47
YHR055C;YHR053C,P0CX81,CUP1-2,Copper metallothionein 1-2,2208,1622,0.73,NA,NA,586,NA,NA,NA,586,0,0,6376,3222,4697,1023,NA,NA,3829,1968,0.51
YHR056C;YHR054C,P38781,RSC30,Chromatin structure-remodeling complex protein RSC30,436,67,0.15,744,1291,97,214,169,NA,503,456,0.91,372,772,169,450,86,NA,370,241,0.65
YHR057C,P23285,CPR2,Peptidyl-prolyl cis-trans isomerase B,1557,95,0.06,435,4405,1258,NA,NA,509,1652,1622,0.98,1024,1128,687,1869,646,3416,1462,962,0.66
YHR058C,P38782,MED6,Mediator of RNA polymerase II transcription subunit 6,1008,299,0.3,NA,2056,277,219,596,394,708,686,0.97,788,1124,165,195,NA,4264,1307,1522,1.16
YHR059W,P38783,FYV4,"Protein FYV4, mitochondrial",4492,634,0.14,2875,9141,947,3572,2753,NA,3857,2781,0.72,6409,5983,2987,NA,NA,NA,5126,1523,0.3
YHR060W,P38784,VMA22,Vacuolar ATPase assembly protein VMA22,2766,195,0.07,4350,5847,1636,2044,3530,358,2961,1824,0.62,4069,2003,3259,2011,NA,1516,2572,945,0.37
YHR062C,P38786,RPP1,Ribonuclease P/MRP protein subunit RPP1,122,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,NA,NA,122,0,0
YHR063C,P38787,PAN5,2-dehydropantoate 2-reductase,6529,1403,0.21,15391,22071,2616,2221,4892,398,7932,7983,1.01,1808,9029,2546,16463,806,105,5126,5850,1.14
YHR064C,P38788,SSZ1,Ribosome-associated complex subunit SSZ1,563239,62117,0.11,338430,902593,418017,619886,540648,187155,501122,226861,0.45,725510,531681,596785,407396,534667,956095,625356,175471,0.28
YHR065C,P38712,RRP3,ATP-dependent rRNA helicase RRP3,3334,1107,0.33,7505,13340,1010,1328,3191,275,4442,4636,1.04,2358,5201,748,3600,1282,170,2227,1735,0.78
YHR066W,P38789,SSF1,Ribosome biogenesis protein SSF1,4652,205,0.04,7212,11313,3299,2143,4236,940,4857,3482,0.72,6701,7761,2780,6243,1879,1318,4447,2532,0.57
YHR068W,P38791,DYS1,Deoxyhypusine synthase,65438,8895,0.14,66085,156144,27904,31487,52258,5380,56543,48469,0.86,99508,76242,53871,66691,96762,52929,74334,18600,0.25
YHR069C,P38792,RRP4,Exosome complex component RRP4,2175,59,0.03,772,6214,925,2025,3259,209,2234,2037,0.91,2467,2357,96,5348,405,2026,2116,1715,0.81
YHR070W,P38793,TRM5,tRNA (guanine(37)-N1)-methyltransferase,6090,3934,0.65,19095,25508,5365,4887,5120,172,10024,9048,0.9,2260,5346,1475,1348,819,1689,2156,1489,0.69
YHR072W,P38604,ERG7,Lanosterol synthase,694,140,0.2,NA,834,NA,NA,NA,NA,834,0,0,233,230,NA,1199,NA,NA,554,456,0.82
YHR072W-A,Q6Q547,NOP10,H/ACA ribonucleoprotein complex subunit 3,250505,37756,0.15,284796,611643,191005,123396,450448,68277,288261,189704,0.66,248703,368296,106060,107694,289446,156296,212749,97447,0.46
YHR073W,P38713,OSH3,Oxysterol-binding protein homolog 3,259,104,0.4,288,NA,129,48,NA,NA,155,100,0.65,230,NA,NA,496,NA,NA,363,133,0.37
YHR074W,P38795,QNS1,Glutamine-dependent NAD(+) synthetase,1473,162,0.11,2054,3969,194,121,218,NA,1311,1515,1.16,328,1386,NA,3191,NA,NA,1635,1182,0.72
YHR075C,P38796,PPE1,Protein phosphatase methylesterase 1,129,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,129,0,0
YHR076W,P38797,PTC7,"Protein phosphatase 2C homolog 7, mitochondrial",11315,987,0.09,10570,27932,5826,8155,8160,1325,10328,8374,0.81,20325,16085,12468,8070,3145,13716,12301,5515,0.45
YHR077C,P38798,NMD2,Nonsense-mediated mRNA decay protein 2,160,31,0.19,NA,60,131,NA,196,NA,129,56,0.43,73,505,41,142,NA,NA,190,185,0.97
YHR080C,P38800,YHR080C,Uncharacterized protein YHR080C,38,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,38,0,0
YHR081W,P38801,LRP1,Exosome complex protein LRP1,14732,4193,0.28,7684,21552,7454,11567,11550,3428,10539,5651,0.54,23339,21247,23855,13662,17901,13546,18925,4220,0.22
YHR082C,P38691,KSP1,Serine/threonine-protein kinase KSP1,229,107,0.47,NA,345,65,40,95,64,122,113,0.93,68,347,NA,631,NA,299,337,200,0.6
YHR083W,P14693,SAM35,Sorting assembly machinery 35 kDa subunit,555,84,0.15,472,NA,NA,NA,NA,NA,472,0,0,NA,481,NA,796,NA,NA,639,157,0.25
YHR084W,P13574,STE12,Protein STE12,109,106,0.97,NA,3,NA,NA,NA,NA,3,0,0,131,NA,NA,306,NA,209,215,72,0.33
YHR085W,P38803,IPI1,Pre-rRNA-processing protein IPI1,1366,703,0.51,NA,1482,360,627,184,NA,663,498,0.75,287,424,158,2374,9021,150,2069,3205,1.55
YHR087W,P38804,RTC3,Restriction of telomere capping protein 3,145071,10304,0.07,207806,337026,116779,38916,76351,NA,155376,106811,0.69,343586,231246,71273,112703,30127,19668,134767,116640,0.87
YHR088W,P38805,RPF1,Ribosome production factor 1,4860,893,0.18,8400,11543,2139,4659,6086,1695,5754,3449,0.6,7806,4438,1097,5551,1797,3112,3967,2278,0.57
YHR089C,P28007,GAR1,H/ACA ribonucleoprotein complex subunit 1,89062,9544,0.11,113486,229447,75671,85724,79975,7330,98605,66722,0.68,100222,96788,116337,105082,21965,36716,79518,36241,0.46
YHR094C,P32465,HXT1,Low-affinity glucose transporter HXT1,1961,647,0.33,2934,5126,1919,757,2304,NA,2608,1445,0.55,NA,1284,96,2871,1008,NA,1315,1000,0.76
YHR097C,P38809,YHR097C,Uncharacterized protein YHR097C,713,141,0.2,1178,1236,662,805,389,NA,854,318,0.37,1038,1164,454,284,258,240,573,381,0.67
YHR098C,P38810,SFB3,SED5-binding protein 3,2841,680,0.24,2279,3927,1403,12584,907,23,3521,4231,1.2,2123,886,766,4871,NA,NA,2161,1652,0.76
YHR099W,P38811,TRA1,Transcription-associated protein 1,651,119,0.18,778,1382,154,274,70,NA,532,491,0.92,847,694,796,1186,NA,326,770,277,0.36
YHR100C,P38812,GEP4,"Phosphatidylglycerophosphatase GEP4, mitochondrial",678,143,0.21,755,1519,586,423,NA,NA,821,420,0.51,1154,455,312,296,NA,456,534,317,0.59
YHR102W,P38692,KIC1,Serine/threonine-protein kinase KIC1,2939,949,0.32,NA,1678,50,3967,4234,22,1990,1826,0.92,11232,4078,397,168,NA,3564,3888,4003,1.03
YHR103W,P38814,SBE22,Protein SBE22,716,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1087,NA,837,NA,NA,223,716,363,0.51
YHR104W,P38715,GRE3,NADPH-dependent aldose reductase GRE3,18090,258,0.01,27821,55567,6185,7769,8958,691,17832,18855,1.06,22662,21077,845,61335,2617,1554,18348,21252,1.16
YHR106W,P38816,TRR2,"Thioredoxin reductase 2, mitochondrial",527,11,0.02,NA,NA,NA,NA,516,NA,516,0,0,889,NA,187,NA,NA,NA,538,351,0.65
YHR107C,P32468,CDC12,Cell division control protein 12,11998,1664,0.14,19340,37204,7833,6167,9417,2011,13662,11764,0.86,15125,20011,3410,15060,4300,4098,10334,6610,0.64
YHR108W,P38817,GGA2,ADP-ribosylation factor-binding protein GGA2,13816,382,0.03,13052,43468,11277,7085,9466,838,14198,13651,0.96,19961,22251,8251,18530,7137,4477,13434,6989,0.52
YHR112C,P38716,YHR112C,Uncharacterized trans-sulfuration enzyme YHR112C,14333,2605,0.18,25003,36233,8534,13628,16088,2142,16938,11095,0.66,7974,14711,9052,11585,15317,NA,11728,2934,0.25
YHR113W,P38821,APE4,Aspartyl aminopeptidase 4,12566,3021,0.24,13239,21314,6294,8740,6829,855,9545,6407,0.67,15917,16906,10272,15741,5032,29659,15588,7523,0.48
YHR114W,P38822,BZZ1,Protein BZZ1,7189,67,0.01,2980,18263,4858,5634,10000,1799,7256,5555,0.77,8544,12174,8429,5482,2808,5293,7122,2997,0.42
YHR115C,P38823,DMA1,E3 ubiquitin-protein ligase DMA1,317,2,0.01,300,338,NA,NA,NA,NA,319,19,0.06,76,NA,NA,553,NA,NA,315,238,0.76
YHR116W,P38824,COX23,"Cytochrome c oxidase-assembly factor COX23, mitochondrial",1391,995,0.72,NA,NA,397,NA,NA,NA,397,0,0,5987,968,256,2542,NA,2178,2386,1979,0.83
YHR117W,P38825,TOM71,Protein TOM71,5367,865,0.16,5996,14648,2867,5372,7746,763,6232,4381,0.7,6012,6894,3848,6274,1731,2257,4503,2012,0.45
YHR121W,P38828,LSM12,Protein LSM12,11938,674,0.06,15088,15186,10722,4973,17886,3729,11264,5331,0.47,13749,15742,10288,15921,18175,1797,12612,5406,0.43
YHR122W,P38829,YHR122W,MIP18 family protein YHR122W,3853,829,0.22,1233,9427,1290,3596,2262,334,3024,3037,1,5753,7818,2169,3752,4068,4532,4682,1759,0.38
YHR123W,P22140,EPT1,Choline/ethanolaminephosphotransferase 1,266,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404,NA,128,NA,NA,266,138,0.52
YHR127W,P38833,YHR127W,Uncharacterized protein YHR127W,1780,254,0.14,NA,575,634,2531,2365,NA,1526,924,0.61,1374,2251,1967,5670,391,548,2033,1761,0.87
YHR128W,P18562,FUR1,Uracil phosphoribosyltransferase,79714,12098,0.15,38616,142132,59651,80954,73803,10539,67616,40684,0.6,138579,72976,55438,123518,33586,126775,91812,39756,0.43
YHR132C,P38836,ECM14,Putative metallocarboxypeptidase ECM14,5907,1778,0.3,6273,12373,1411,2567,1787,365,4129,4124,1,6679,9730,4433,12457,4460,8349,7685,2869,0.37
YHR132W-A,Q9P305,IGO2,mRNA stability protein IGO2,8299,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2685,9129,NA,5058,6781,17845,8299,5218,0.63
YHR133C,P38837,NSG1,Protein NSG1,2691,608,0.23,3392,6362,131,886,1637,87,2082,2215,1.06,1469,2558,NA,5869,NA,NA,3299,1871,0.57
YHR135C,P23291,YCK1,Casein kinase I homolog 1,1172,114,0.1,1236,3846,160,587,598,NA,1285,1326,1.03,436,1104,NA,1634,NA,NA,1058,490,0.46
YHR136C,P38839,SPL2,Putative cyclin-dependent kinase inhibitor SPL2,3793,1057,0.28,NA,7240,823,2675,NA,209,2737,2754,1.01,8180,5784,1772,3450,3259,6654,4850,2205,0.45
YHR138C,P38841,YHR138C,Uncharacterized protein YHR138C,10447,4313,0.41,11337,13395,4332,5656,2032,50,6133,4780,0.78,20657,20338,24218,6461,NA,2125,14760,8762,0.59
YNL162W;YHR141C,P0CX27,RPL42A,60S ribosomal protein L42-A,1107966,48990,0.04,1221340,2301470,656955,1000360,1568800,192810,1156956,669300,0.58,1031680,1528090,636781,1347420,1447140,362741,1058975,431601,0.41
YHR143W-A,P40422,RPC10,"DNA-directed RNA polymerases I, II, and III subunit RPABC4",315567,37919,0.12,120785,651807,189826,344826,325673,32966,277647,199584,0.72,424530,562355,477635,226823,113677,315896,353486,152234,0.43
YHR144C,P06773,DCD1,Deoxycytidylate deaminase,514,18,0.03,NA,NA,NA,496,NA,NA,496,0,0,NA,NA,NA,532,NA,NA,532,0,0
YHR146W,P38845,CRP1,Cruciform DNA-recognizing protein 1,67327,7090,0.11,71200,146796,27191,51151,60269,4814,60237,44458,0.74,97353,109441,43004,50689,66555,79458,74417,23769,0.32
YHR147C,P32904,MRPL6,"54S ribosomal protein L6, mitochondrial",1485,264,0.18,NA,2704,1058,NA,3092,141,1749,1202,0.69,1310,1813,866,896,NA,NA,1221,384,0.31
YHR148W,P32899,IMP3,U3 small nucleolar ribonucleoprotein protein IMP3,1954,256,0.13,NA,NA,1548,NA,2904,641,1698,930,0.55,2688,2947,1375,3247,NA,795,2210,954,0.43
YHR149C,P32900,SKG6,Protein SKG6,432,255,0.59,NA,NA,298,161,203,43,176,92,0.52,424,129,396,1563,NA,924,687,508,0.74
YHR158C,P38853,KEL1,Kelch repeat-containing protein 1,6019,1182,0.2,6429,7924,3401,2921,7602,749,4838,2651,0.55,12147,11416,4916,6588,2390,5748,7201,3490,0.48
YHR159W,P38854,TDA11,Topoisomerase I damage affected protein 11,260,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,337,359,NA,187,NA,155,260,89,0.34
YHR161C,P38856,YAP1801,Clathrin coat assembly protein AP180A,2763,1488,0.54,933,14632,1475,2797,1420,NA,4251,5227,1.23,1616,2196,NA,341,NA,948,1275,697,0.55
YHR163W,P38858,SOL3,6-phosphogluconolactonase 3,16545,6127,0.37,NA,21723,8092,8857,3000,NA,10418,6904,0.66,32543,20936,10789,32328,1327,38110,22672,13095,0.58
YHR165C,P33334,PRP8,Pre-mRNA-splicing factor 8,317,143,0.45,NA,NA,116,803,NA,NA,460,343,0.75,205,NA,259,52,176,NA,173,76,0.44
YHR167W,O13539,THP2,THO complex subunit THP2,1420,132,0.09,NA,NA,1804,NA,2361,490,1551,784,0.51,338,1591,310,1798,NA,2402,1288,831,0.65
YHR169W,P38719,DBP8,ATP-dependent RNA helicase DBP8,709,185,0.26,139,1960,72,766,170,37,524,687,1.31,514,749,NA,1419,NA,NA,894,383,0.43
YHR170W,P38861,NMD3,60S ribosomal export protein NMD3,4328,297,0.07,3291,16000,2054,1688,4382,335,4625,5242,1.13,2738,6855,1020,8782,NA,763,4032,3224,0.8
YHR174W,P00925,ENO2,Enolase 2,9427578,550363,0.06,10153600,13241500,6292020,9873340,11122800,2580030,8877215,3489241,0.39,9751060,9733070,7127530,7769680,13184000,12302300,9977940,2190668,0.22
YHR179W,Q03558,OYE2,NADPH dehydrogenase 2,176389,17548,0.1,150824,290633,148750,176670,133362,52806,158841,70410,0.44,201617,214893,114480,180965,85822,365843,193937,89648,0.46
